,full_path,filename,project_species,code,new_filename
18,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21106-4__21106-4-T__2021-04-06__14-37-42(2).JPG,21106-4__21106-4-T__2021-04-06__14-37-42(2).JPG,COA_2021/VariedThrush1_ZF,ab,21106-4__21106-4-T__2021-04-06__14-37-42(2)_ab.JPG
19,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-1__21414-1-T__2021-04-13__09-08-50(1).JPG,21414-1__21414-1-T__2021-04-13__09-08-50(1).JPG,COA_2021/VariedThrush1_ZF,ab,21414-1__21414-1-T__2021-04-13__09-08-50(1)_ab.JPG
20,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-4__21414-4-T__2021-04-18__13-51-39(3).JPG,21414-4__21414-4-T__2021-04-18__13-51-39(3).JPG,COA_2021/VariedThrush1_ZF,ab,21414-4__21414-4-T__2021-04-18__13-51-39(3)_ab.JPG
21,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20671-2__20671-2-T__2021-04-25__08-35-45(2).JPG,20671-2__20671-2-T__2021-04-25__08-35-45(2).JPG,COA_2021/VariedThrush1_ZF,ab,20671-2__20671-2-T__2021-04-25__08-35-45(2)_ab.JPG
22,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20671-2__20671-2-T__2021-04-25__08-35-46(3).JPG,20671-2__20671-2-T__2021-04-25__08-35-46(3).JPG,COA_2021/VariedThrush1_ZF,ab,20671-2__20671-2-T__2021-04-25__08-35-46(3)_ab.JPG
23,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20266-1__20266-1-G__2021-04-15__19-17-21(1).JPG,20266-1__20266-1-G__2021-04-15__19-17-21(1).JPG,COA_2021/VariedThrush1_ZF,ab,20266-1__20266-1-G__2021-04-15__19-17-21(1)_ab.JPG
24,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20469-4__20469-4-G__2021-04-03__19-15-32(1).JPG,20469-4__20469-4-G__2021-04-03__19-15-32(1).JPG,COA_2021/VariedThrush1_ZF,ab,20469-4__20469-4-G__2021-04-03__19-15-32(1)_ab.JPG
25,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-4__21414-4-G__2021-03-31__15-25-42(2).JPG,21414-4__21414-4-G__2021-03-31__15-25-42(2).JPG,COA_2021/VariedThrush1_ZF,ab,21414-4__21414-4-G__2021-03-31__15-25-42(2)_ab.JPG
26,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-3__21414-3-T__2021-04-06__07-20-38(1).JPG,21414-3__21414-3-T__2021-04-06__07-20-38(1).JPG,COA_2021/VariedThrush1_ZF,ab,21414-3__21414-3-T__2021-04-06__07-20-38(1)_ab.JPG
27,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20881-1__20881-1-T__2021-04-06__09-49-22(2).JPG,20881-1__20881-1-T__2021-04-06__09-49-22(2).JPG,COA_2021/VariedThrush1_ZF,ab,20881-1__20881-1-T__2021-04-06__09-49-22(2)_ab.JPG
28,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20779-2__20779-2-T__2021-04-17__15-56-32(8).JPG,20779-2__20779-2-T__2021-04-17__15-56-32(8).JPG,COA_2021/VariedThrush1_ZF,ab,20779-2__20779-2-T__2021-04-17__15-56-32(8)_ab.JPG
29,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20671-3__20671-3-T__2021-04-21__06-30-27(1).JPG,20671-3__20671-3-T__2021-04-21__06-30-27(1).JPG,COA_2021/VariedThrush1_ZF,ab,20671-3__20671-3-T__2021-04-21__06-30-27(1)_ab.JPG
30,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20779-2__20779-2-T__2021-03-27__12-02-52(3).JPG,20779-2__20779-2-T__2021-03-27__12-02-52(3).JPG,COA_2021/VariedThrush1_ZF,ab,20779-2__20779-2-T__2021-03-27__12-02-52(3)_ab.JPG
31,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-4__21414-4-G__2021-03-21__11-29-54(1).JPG,21414-4__21414-4-G__2021-03-21__11-29-54(1).JPG,COA_2021/VariedThrush1_ZF,ab,21414-4__21414-4-G__2021-03-21__11-29-54(1)_ab.JPG
32,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-1__21414-1-G__2021-04-17__10-58-25(1).JPG,21414-1__21414-1-G__2021-04-17__10-58-25(1).JPG,COA_2021/VariedThrush1_ZF,ab,21414-1__21414-1-G__2021-04-17__10-58-25(1)_ab.JPG
33,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20779-2__20779-2-T__2021-04-03__13-01-44(1).JPG,20779-2__20779-2-T__2021-04-03__13-01-44(1).JPG,COA_2021/VariedThrush1_ZF,ab,20779-2__20779-2-T__2021-04-03__13-01-44(1)_ab.JPG
34,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-4__21414-4-G__2021-03-21__11-29-55(3).JPG,21414-4__21414-4-G__2021-03-21__11-29-55(3).JPG,COA_2021/VariedThrush1_ZF,ab,21414-4__21414-4-G__2021-03-21__11-29-55(3)_ab.JPG
35,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20671-5__20671-5-T__2021-04-21__18-17-31(3).JPG,20671-5__20671-5-T__2021-04-21__18-17-31(3).JPG,COA_2021/VariedThrush1_ZF,ab,20671-5__20671-5-T__2021-04-21__18-17-31(3)_ab.JPG
36,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21106-4__21106-4-T__2021-04-01__07-02-11(1).JPG,21106-4__21106-4-T__2021-04-01__07-02-11(1).JPG,COA_2021/VariedThrush1_ZF,ab,21106-4__21106-4-T__2021-04-01__07-02-11(1)_ab.JPG
37,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20779-3__20779-3-G__2021-04-24__06-50-26(3).JPG,20779-3__20779-3-G__2021-04-24__06-50-26(3).JPG,COA_2021/VariedThrush1_ZF,ab,20779-3__20779-3-G__2021-04-24__06-50-26(3)_ab.JPG
38,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/19971-2__19971-2-T__2021-04-02__19-36-49(2).JPG,19971-2__19971-2-T__2021-04-02__19-36-49(2).JPG,COA_2021/VariedThrush1_ZF,ab,19971-2__19971-2-T__2021-04-02__19-36-49(2)_ab.JPG
39,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20266-1__20266-1-G__2021-04-25__07-16-50(3).JPG,20266-1__20266-1-G__2021-04-25__07-16-50(3).JPG,COA_2021/VariedThrush1_ZF,ab,20266-1__20266-1-G__2021-04-25__07-16-50(3)_ab.JPG
40,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21808-2__21808-2-G__2021-03-24__12-40-40(1).JPG,21808-2__21808-2-G__2021-03-24__12-40-40(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21808-2__21808-2-G__2021-03-24__12-40-40(1)_ac.JPG
41,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21604-3__21604-3-T__2021-06-04__17-26-44(1).JPG,21604-3__21604-3-T__2021-06-04__17-26-44(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21604-3__21604-3-T__2021-06-04__17-26-44(1)_ac.JPG
42,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21398-2__21398-2-T__2021-04-08__09-29-08(2).JPG,21398-2__21398-2-T__2021-04-08__09-29-08(2).JPG,COA_2021/DouglasSquirrel_2AM,ac,21398-2__21398-2-T__2021-04-08__09-29-08(2)_ac.JPG
43,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21805-4__21805-4-G__2021-03-11__11-07-06(3).JPG,21805-4__21805-4-G__2021-03-11__11-07-06(3).JPG,COA_2021/DouglasSquirrel_2AM,ac,21805-4__21805-4-G__2021-03-11__11-07-06(3)_ac.JPG
44,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21994-4__21994-4-G__2021-05-29__13-36-58(1).JPG,21994-4__21994-4-G__2021-05-29__13-36-58(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21994-4__21994-4-G__2021-05-29__13-36-58(1)_ac.JPG
45,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21994-4__21994-4-G__2021-05-31__06-41-32(1).JPG,21994-4__21994-4-G__2021-05-31__06-41-32(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21994-4__21994-4-G__2021-05-31__06-41-32(1)_ac.JPG
46,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21398-4__21398-4-G__2021-05-09__11-24-34(1).JPG,21398-4__21398-4-G__2021-05-09__11-24-34(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21398-4__21398-4-G__2021-05-09__11-24-34(1)_ac.JPG
47,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21994-4__21994-4-G__2021-05-12__14-12-25(1).JPG,21994-4__21994-4-G__2021-05-12__14-12-25(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21994-4__21994-4-G__2021-05-12__14-12-25(1)_ac.JPG
48,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21398-2__21398-2-T__2021-04-11__13-40-17(1).JPG,21398-2__21398-2-T__2021-04-11__13-40-17(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21398-2__21398-2-T__2021-04-11__13-40-17(1)_ac.JPG
49,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21808-3__21808-3-G__2021-05-01__12-29-30(6).JPG,21808-3__21808-3-G__2021-05-01__12-29-30(6).JPG,COA_2021/DouglasSquirrel_2AM,ac,21808-3__21808-3-G__2021-05-01__12-29-30(6)_ac.JPG
50,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21808-2__21808-2-T__2021-03-26__12-08-41(3).JPG,21808-2__21808-2-T__2021-03-26__12-08-41(3).JPG,COA_2021/DouglasSquirrel_2AM,ac,21808-2__21808-2-T__2021-03-26__12-08-41(3)_ac.JPG
51,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21717-3__21717-3-T__2021-03-31__13-38-02(2).JPG,21717-3__21717-3-T__2021-03-31__13-38-02(2).JPG,COA_2021/DouglasSquirrel_2AM,ac,21717-3__21717-3-T__2021-03-31__13-38-02(2)_ac.JPG
52,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21808-2__21808-2-T__2021-03-31__11-23-18(1).JPG,21808-2__21808-2-T__2021-03-31__11-23-18(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21808-2__21808-2-T__2021-03-31__11-23-18(1)_ac.JPG
53,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21404-2__21404-2-T__2021-05-19__10-30-08(1).JPG,21404-2__21404-2-T__2021-05-19__10-30-08(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21404-2__21404-2-T__2021-05-19__10-30-08(1)_ac.JPG
54,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel_2AM/images/21808-2__21808-2-T__2021-03-26__12-08-40(1).JPG,21808-2__21808-2-T__2021-03-26__12-08-40(1).JPG,COA_2021/DouglasSquirrel_2AM,ac,21808-2__21808-2-T__2021-03-26__12-08-40(1)_ac.JPG
55,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/20574-1__20574-1-T__2021-05-09__16-53-05(2).JPG,20574-1__20574-1-T__2021-05-09__16-53-05(2).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,20574-1__20574-1-T__2021-05-09__16-53-05(2)_ad.JPG
56,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22848-4__22848-4-T__2021-06-01__13-15-24(8).JPG,22848-4__22848-4-T__2021-06-01__13-15-24(8).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22848-4__22848-4-T__2021-06-01__13-15-24(8)_ad.JPG
57,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22848-4__22848-4-T__2021-06-01__09-50-26(7).JPG,22848-4__22848-4-T__2021-06-01__09-50-26(7).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22848-4__22848-4-T__2021-06-01__09-50-26(7)_ad.JPG
58,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22848-4__22848-4-T__2021-06-01__09-53-15(4).JPG,22848-4__22848-4-T__2021-06-01__09-53-15(4).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22848-4__22848-4-T__2021-06-01__09-53-15(4)_ad.JPG
59,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/23137-2__23137-2-T__2021-04-28__12-14-18(2).JPG,23137-2__23137-2-T__2021-04-28__12-14-18(2).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,23137-2__23137-2-T__2021-04-28__12-14-18(2)_ad.JPG
60,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/23137-2__23137-2-T__2021-04-28__12-15-46(9).JPG,23137-2__23137-2-T__2021-04-28__12-15-46(9).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,23137-2__23137-2-T__2021-04-28__12-15-46(9)_ad.JPG
61,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/23340-4__23340-4-T__2021-03-27__16-02-52(15).JPG,23340-4__23340-4-T__2021-03-27__16-02-52(15).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,23340-4__23340-4-T__2021-03-27__16-02-52(15)_ad.JPG
62,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22848-4__22848-4-T__2021-06-01__09-50-16(5).JPG,22848-4__22848-4-T__2021-06-01__09-50-16(5).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22848-4__22848-4-T__2021-06-01__09-50-16(5)_ad.JPG
63,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/23340-4__23340-4-T__2021-03-27__16-01-03(1).JPG,23340-4__23340-4-T__2021-03-27__16-01-03(1).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,23340-4__23340-4-T__2021-03-27__16-01-03(1)_ad.JPG
64,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22571-2__22571-2-T__2021-04-21__18-20-09(3).JPG,22571-2__22571-2-T__2021-04-21__18-20-09(3).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22571-2__22571-2-T__2021-04-21__18-20-09(3)_ad.JPG
65,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/23137-2__23137-2-T__2021-04-28__12-15-33(5).JPG,23137-2__23137-2-T__2021-04-28__12-15-33(5).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,23137-2__23137-2-T__2021-04-28__12-15-33(5)_ad.JPG
66,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22848-4__22848-4-T__2021-06-01__09-48-28(6).JPG,22848-4__22848-4-T__2021-06-01__09-48-28(6).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22848-4__22848-4-T__2021-06-01__09-48-28(6)_ad.JPG
67,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22571-2__22571-2-T__2021-04-21__18-22-37(3).JPG,22571-2__22571-2-T__2021-04-21__18-22-37(3).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22571-2__22571-2-T__2021-04-21__18-22-37(3)_ad.JPG
68,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/23137-2__23137-2-T__2021-04-28__12-16-20(5).JPG,23137-2__23137-2-T__2021-04-28__12-16-20(5).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,23137-2__23137-2-T__2021-04-28__12-16-20(5)_ad.JPG
69,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/23137-2__23137-2-T__2021-04-29__11-56-25(5).JPG,23137-2__23137-2-T__2021-04-29__11-56-25(5).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,23137-2__23137-2-T__2021-04-29__11-56-25(5)_ad.JPG
70,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22848-4__22848-4-T__2021-04-25__19-07-23(5).JPG,22848-4__22848-4-T__2021-04-25__19-07-23(5).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22848-4__22848-4-T__2021-04-25__19-07-23(5)_ad.JPG
71,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/20574-1__20574-1-T__2021-05-09__16-54-05(2).JPG,20574-1__20574-1-T__2021-05-09__16-54-05(2).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,20574-1__20574-1-T__2021-05-09__16-54-05(2)_ad.JPG
72,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/22848-4__22848-4-T__2021-06-01__09-48-49(10).JPG,22848-4__22848-4-T__2021-06-01__09-48-49(10).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,22848-4__22848-4-T__2021-06-01__09-48-49(10)_ad.JPG
73,/mnt/ssd-cluster/cara/data/COA_2021/cappel-COA_2021_RooseveltElk1_AM/images/20572-4__20572-4-T__2021-05-09__07-55-50(2).JPG,20572-4__20572-4-T__2021-05-09__07-55-50(2).JPG,COA_2021/cappel-COA_2021_RooseveltElk1_AM,ad,20572-4__20572-4-T__2021-05-09__07-55-50(2)_ad.JPG
74,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22297-4__22297-4-T__2021-04-18__16-30-37(1).JPG,22297-4__22297-4-T__2021-04-18__16-30-37(1).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22297-4__22297-4-T__2021-04-18__16-30-37(1)_ae.JPG
75,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22379-1__22379-1-T__2021-05-03__15-49-54(1).JPG,22379-1__22379-1-T__2021-05-03__15-49-54(1).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22379-1__22379-1-T__2021-05-03__15-49-54(1)_ae.JPG
76,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22297-2__22297-2-T__2021-04-18__11-48-02(2).JPG,22297-2__22297-2-T__2021-04-18__11-48-02(2).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22297-2__22297-2-T__2021-04-18__11-48-02(2)_ae.JPG
77,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22371-4__22371-4-G__2021-04-23__12-07-13(3).JPG,22371-4__22371-4-G__2021-04-23__12-07-13(3).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22371-4__22371-4-G__2021-04-23__12-07-13(3)_ae.JPG
78,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/23039-2__23039-2-G__2021-04-22__08-30-17(6).JPG,23039-2__23039-2-G__2021-04-22__08-30-17(6).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,23039-2__23039-2-G__2021-04-22__08-30-17(6)_ae.JPG
79,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22297-2__22297-2-T__2021-04-18__12-57-34(3).JPG,22297-2__22297-2-T__2021-04-18__12-57-34(3).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22297-2__22297-2-T__2021-04-18__12-57-34(3)_ae.JPG
80,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22371-4__22371-4-T__2021-04-09__13-18-53(2).JPG,22371-4__22371-4-T__2021-04-09__13-18-53(2).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22371-4__22371-4-T__2021-04-09__13-18-53(2)_ae.JPG
81,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/23039-3__23039-3-G__2021-04-24__15-40-01(1).JPG,23039-3__23039-3-G__2021-04-24__15-40-01(1).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,23039-3__23039-3-G__2021-04-24__15-40-01(1)_ae.JPG
82,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22297-2__22297-2-G__2021-04-19__08-04-10(1).JPG,22297-2__22297-2-G__2021-04-19__08-04-10(1).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22297-2__22297-2-G__2021-04-19__08-04-10(1)_ae.JPG
83,/mnt/ssd-cluster/cara/data/COA_2021/TownsendsChipmunk3_ZF/images/22379-1__22379-1-G__2021-04-26__11-58-39(2).JPG,22379-1__22379-1-G__2021-04-26__11-58-39(2).JPG,COA_2021/TownsendsChipmunk3_ZF,ae,22379-1__22379-1-G__2021-04-26__11-58-39(2)_ae.JPG
